iter	Passed	Remaining
811	17263	3997
812	17277	3974
813	17290	3950
814	17306	3928
815	17321	3905
816	17337	3883
817	17352	3860
818	17366	3838
819	17383	3815
820	17399	3793
821	17412	3770
822	17426	3747
823	17440	3725
824	17453	3702
825	17467	3679
826	17480	3656
827	17494	3634
828	17508	3611
829	17522	3588
830	17536	3566
831	17550	3543
832	17563	3521
833	17576	3498
834	17589	3475
835	17600	3452
836	17613	3430
837	17625	3407
838	17638	3384
839	17650	3362
840	17662	3339
841	17674	3316
842	17686	3293
843	17701	3271
844	17714	3249
845	17726	3226
846	17739	3204
847	17755	3182
848	17769	3160
849	17781	3137
850	17794	3115
851	17806	3093
852	17819	3070
853	17831	3048
854	17847	3026
855	17861	3004
856	17874	2982
857	17886	2960
858	17898	2937
859	17910	2915
860	17923	2893
861	17935	2871
862	17949	2849
863	17963	2827
864	17975	2805
865	17988	2783
866	18000	2761
867	18011	2739
868	18023	2717
869	18035	2695
870	18048	2673
871	18062	2651
872	18075	2629
873	18088	2607
874	18101	2585
875	18116	2564
876	18132	2543
877	18144	2521
878	18157	2499
879	18171	2477
880	18185	2456
881	18199	2434
882	18211	2413
883	18224	2391
884	18238	2370
885	18252	2348
886	18265	2326
887	18279	2305
888	18292	2284
889	18305	2262
890	18317	2240
891	18329	2219
892	18341	2197
893	18353	2176
894	18366	2154
895	18384	2133
896	18413	2114
897	18438	2094
898	18460	2074
899	18487	2054
900	18513	2034
901	18529	2013
902	18546	1992
903	18575	1972
904	18605	1953
905	18626	1932
906	18643	1911
907	18661	1890
908	18677	1869
909	18705	1849
910	18725	1829
911	18750	1809
912	18767	1788
913	18787	1767
914	18805	1746
915	18833	1727
916	18852	1706
917	18868	1685
918	18883	1664
919	18899	1643
920	18917	1622
921	18933	1601
922	18950	1580
923	18964	1559
924	18980	1538
925	18994	1517
926	19010	1497
927	19024	1476
928	19037	1455
929	19051	1434
930	19065	1412
931	19078	1391
932	19091	1371
933	19105	1350
934	19117	1329
935	19133	1308
936	19148	1287
937	19161	1266
938	19174	1245
939	19188	1224
940	19201	1203
941	19215	1183
942	19227	1162
943	19239	1141
944	19252	1120
945	19264	1099
946	19277	1078
947	19289	1058
948	19301	1037
949	19314	1016
950	19325	995
951	19338	975
952	19350	954
953	19363	933
954	19375	912
955	19388	892
956	19400	871
957	19412	851
958	19424	830
959	19435	809
960	19448	789
961	19461	768
962	19473	748
963	19486	727
964	19500	707
965	19513	686
966	19525	666
967	19537	645
968	19549	625
969	19561	604
970	19573	584
971	19586	564
972	19599	543
973	19610	523
974	19622	503
975	19634	482
976	19647	462
977	19660	442
978	19672	421
979	19685	401
980	19698	381
981	19709	361
982	19722	341
983	19735	320
984	19748	300
985	19762	280
986	19775	260
987	19789	240
988	19805	220
989	19821	200
990	19834	180
991	19848	160
992	19861	140
993	19876	119
994	19890	99
995	19904	79
996	19918	59
997	19934	39
998	19948	19
999	19962	0
